amenities,built_year,detailed_address,developer,district,facing,floor_level,furnishing,link,mrt_distance,mrt_name,name,neighbourhood,overlooking_view,picture_url,price/sqft,price_month,property_type,sqft,tenure,total_units,unit_types,bedrooms,bathrooms
"['Clubhouse', 'Gym', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Fitness corner', 'Parking', '', '', '']",2008,12 West Coast Road,First Bedok Land Pte Ltd,Buona Vista / West Coast / Clementi (D5),,,,https://www.99.co/singapore/rent/property/the-stellar-condo-AHrKmwPHwM9kbfTyc2MfKP#enquiry_position_3923#enquiry_source_Search,,,The Stellar,Clementi,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.66 psf,"$6,500/mo",Condo Whole Unit,"1,776",Freehold,162,"2, 3, 4 BR",4,3
"['Fun pool', 'Clubhouse', 'Function room', 'Study room', 'Tennis court', 'Water feature', 'Gym', 'Jogging track', '', '', '', '', '', '', '', '', '', '', '', '']",2008,2 Marina Boulevard,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-NvSJUfQRzzq5YSXcebE9eg#enquiry_position_3924#enquiry_source_Search,5 min (216 m) from ,Downtown MRT,The Sail @ Marina Bay,None,,https://www.99.co/static/v3/icons/pool@3x.png,$6.68 psf,"$5,900/mo",Apartment Whole Unit,883,99 Years,1111,"Studio, 1, 2, 3, 4, 5, 10 BR",2,2
"['Basketball court', 'Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Playground', 'Fitness corner', 'Parking', '', '', '']",2007,7 Anthony Road,Golden Development Pte Ltd (Far East Oranisation),Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/orchard-scotts-condo-kuwgrNGuG9itj4jpQnHbCZ#enquiry_position_3925#enquiry_source_Search,5 min (299 m) from ,Newton MRT,Orchard Scotts,Newton,,https://www.99.co/static/v3/icons/basketball_court@3x.png,$5.53 psf,"$9,100/mo",Condo Whole Unit,"1,647",99 Years,387,"Studio, 1, 2, 3, 4, 5 BR",3,2
"['Pavilion', 'Renovated', 'Aircon', 'Hammocks', 'Reflexology path', 'Stove', 'Fridge', 'Bed', '', '', '', '', '', '', '', '']",2021,93 West Coast Vale,China Construction Development Co. Pte Ltd,Buona Vista / West Coast / Clementi (D5),,High (36 total),Partial,https://www.99.co/singapore/rent/property/twin-vew-condo-dKeb7Yv63frsHCcrSieA3U#enquiry_position_3926#enquiry_source_Search,,,Twin VEW,Clementi,,https://www.99.co/static/v3/icons/pavilion@3x.png,$4.58 psf,"$3,250/mo",Condo Whole Unit,710,99 Years,520,"Studio, 1, 2, 3, 4, 5, 6 BR",2,2
"['Gym', 'Pool deck', 'Swimming pool', 'Parking', 'Outdoor dining', 'Security']",2015,110 Sophia Road,Aurum Land (Private) Limited,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/1919-condo-kXRkmbVEzuutMpRpAsmecE#enquiry_position_3927#enquiry_source_Search,10 min (468 m) from ,Dhoby Ghaut MRT,1919,None,,https://www.99.co/static/v3/icons/gym@3x.png,$5 psf,"$5,000/mo",Condo Whole Unit,"1,000",Freehold,75,"1, 2, 3 BR",3,2
"['Gym', 'Pool deck', 'Lounge', 'Fitness corner', 'Lap pool', 'Bbq']",2021,16 Lorong 35 Geylang,Oxley Holdings,Eunos / Geylang / Paya Lebar (D14),,,,https://www.99.co/singapore/rent/property/sixteen35-residences-condo-tcxq9LEeCtpWKoHFrVYpS4#enquiry_position_3928#enquiry_source_Search,15 min (754 m) from ,Paya Lebar MRT,Sixteen35 Residences,Geylang,,https://www.99.co/static/v3/icons/gym@3x.png,$4.8 psf,"$3,200/mo",Condo Whole Unit,667,99 Years,60,"1, 2, 3 BR",2,1
"['Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Parking', 'Security', 'Bbq']",2001,2 Saint Martin's Drive,,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/st-martin-residence-condo-kbXbLVGd93U9kwTnPNvr4a#enquiry_position_3929#enquiry_source_Search,15 min (1048 m) from ,Orchard MRT,St. Martin Residence,Tanglin,,https://www.99.co/static/v3/icons/gym@3x.png,$4.56 psf,"$5,300/mo",Condo Whole Unit,"1,162",Freehold,82,"1, 2, 3, 5 BR",2,2
"['Security', 'Parking']",1970,2 Taman Serasi,,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/botanic-gardens-mansion-condo-3PYVZCwTKKDcFf7ZHWPViG#enquiry_position_3930#enquiry_source_Search,,,Botanic Gardens Mansion,Tanglin,,https://www.99.co/static/v3/icons/security@3x.png,$3.57 psf,"$5,000/mo",Apartment Whole Unit,"1,400",Freehold,112,"3, 4 BR",3,4
"['Infinity pool', 'Clubhouse', 'Basketball court', 'Reflexology path', 'Gym', 'Pool deck', 'Hydrotherapy pool', 'Wading pool', '', '', '', '', '', '', '', '', '', '']",2008,31 Lorong Chuan,Peak Residence Development Pte Ltd (Kheng Leong),Hougang / Punggol / Sengkang (D19),,,,https://www.99.co/singapore/rent/property/the-chuan-condo-r7imJsfBNKPAzz7K879awn#enquiry_position_3931#enquiry_source_Search,10 min (414 m) from ,Lorong Chuan MRT,The Chuan,Serangoon,,https://www.99.co/static/v3/icons/pool@3x.png,$4.13 psf,"$9,500/mo",Condo Whole Unit,"2,300",999 Years,106,"2, 3, 4, 5 BR",4,3
"['Function room', 'Water feature', 'Gym', 'Viewing deck', 'Spa pool', 'Swimming pool', 'Wading pool', 'Jacuzzi', '', '', '', '', '', '', '', '']",2016,10 Whampoa East,Ue Development (Bendemeer) Pte Ltd,Balestier / Toa Payoh (D12),,,,https://www.99.co/singapore/rent/property/eight-riversuites-condo-fvMY3jv33d2Dki9dXFDnTP#enquiry_position_3932#enquiry_source_Search,5 min (358 m) from ,Boon Keng MRT,Eight Riversuites,Kallang,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.44 psf,"$2,400/mo",Condo Whole Unit,441,99 Years,862,"Studio, 1, 2, 3, 4 BR",1,1
"['Clubhouse', 'Gym', 'Pool deck', 'Wading pool', 'Jacuzzi', 'Steam room', 'Playground', 'Parking', '', '', '']",2010,18 Marina Boulevard,"Keppel Land, Hong Kong Land, Cheung Kong Holdings Ltd",Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/marina-bay-residences-condo-XPA5qs9d5GJCSGxesFdRC4#enquiry_position_3933#enquiry_source_Search,5 min (289 m) from ,Downtown MRT,Marina Bay Residences,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$6.48 psf,"$4,600/mo",Condo Whole Unit,710,99 Years,428,"1, 2, 3, 4, 5, 6, 7 BR",1,1
"['Fun pool', 'Clubhouse', 'Function room', 'Study room', 'Tennis court', 'Water feature', 'Gym', 'Jogging track', '', '', '', '', '', '', '', '', '', '', '', '']",2008,2 Marina Boulevard,"City Developments Ltd,AIG Global Real Estate",Boat Quay / Raffles Place / Marina (D1),,,,https://www.99.co/singapore/rent/property/the-sail-marina-bay-condo-fawYpu8wNvcocMQZ3m8Rfa#enquiry_position_3934#enquiry_source_Search,5 min (216 m) from ,Downtown MRT,The Sail @ Marina Bay,None,,https://www.99.co/static/v3/icons/pool@3x.png,$7.26 psf,"$6,800/mo",Apartment Whole Unit,936,99 Years,1111,"Studio, 1, 2, 3, 4, 5, 10 BR",2,2
"['Penthouse', 'Clubhouse', 'Roof terrace', 'Water feature', 'High ceiling', 'Gym', 'Parking', 'Timber deck', '', '', '', '', '', '', '', '', '']",2010,287 Ocean Drive,"City Developments Ltd, TID Pte Ltd",Harbourfront / Telok Blangah (D4),,Top (15 total),Flexible,https://www.99.co/singapore/rent/property/the-oceanfront-sentosa-cove-condo-8roJuwhoSqeJPt8ygfT9kP#enquiry_position_3935#enquiry_source_Search,,,The Oceanfront @ Sentosa Cove,None,,https://www.99.co/static/v3/icons/penthouse@3x.png,$4.88 psf,"$22,000/mo",Condo Whole Unit,"4,510",99 Years,264,"Studio, 2, 3, 4, 5, 6 BR",4,5
"['Basketball court', 'Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Playground', 'Fitness corner', 'Parking', '', '', '']",2007,7 Anthony Road,Golden Development Pte Ltd (Far East Oranisation),Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/orchard-scotts-condo-gmDu6VkCsHsbMiqXvZNnEZ#enquiry_position_3936#enquiry_source_Search,5 min (299 m) from ,Newton MRT,Orchard Scotts,Newton,,https://www.99.co/static/v3/icons/basketball_court@3x.png,$5.11 psf,"$4,900/mo",Condo Whole Unit,958,99 Years,387,"Studio, 1, 2, 3, 4, 5 BR",2,2
"['Clubhouse', 'Basketball court', 'Gym', 'Swimming pool', 'Wading pool', 'Tennis court', 'Parking', 'Security', '', '']",2014,16 Enggor Street,Bishan Properties Pte Ltd,Chinatown / Tanjong Pagar (D2),,,Fully,https://www.99.co/singapore/rent/property/altez-condo-jmZJ4pwbrxxUgZmjbmZ7PG#enquiry_position_3937#enquiry_source_Search,5 min (253 m) from ,Tanjong Pagar MRT,Altez,None,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$6.24 psf,"$4,700/mo",Condo Whole Unit,753,99 Years,280,"Studio, 1, 2, 3, 4 BR",1,1
"['Clubhouse', 'Parking']",1994,271 Bukit Timah Road,Balmoral Plaza Pte Ltd (Lim Kah Nagm Limited & Pac),Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/balmoral-plaza-condo-vPnUGVd5L2bThKHQNhW693#enquiry_position_3938#enquiry_source_Search,15 min (678 m) from ,Newton MRT,Balmoral Plaza,Newton,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.03 psf,"$6,000/mo",Condo Whole Unit,"1,980",Freehold,7,"4, 5 BR",4,3
"['Security', 'Jacuzzi', 'Lap pool', 'Tennis court']",2015,72 Lorong M Telok Kurau,Bayshore Green Pte Ltd,East Coast / Marine Parade (D15),,,,https://www.99.co/singapore/rent/property/the-seawind-condo-NwvFKGg32R8woAKvPATKYT#enquiry_position_3939#enquiry_source_Search,,,The Seawind,Bedok,,https://www.99.co/static/v3/icons/security@3x.png,$5.35 psf,"$3,400/mo",Condo Whole Unit,635,Freehold,222,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Swimming pool', 'Gym', 'Security', 'Bbq', 'Parking']",1997,101 Fernhill Road,Far East Organization,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/orange-regency-condo-SPYx3MXdWFFnrrwbAGDBhT#enquiry_position_3940#enquiry_source_Search,15 min (1070 m) from ,Stevens MRT,Orange Regency,Tanglin,,https://www.99.co/static/v3/icons/pool@3x.png,$3.94 psf,"$7,000/mo",Apartment Whole Unit,"1,776",Freehold,15,"3, 4 BR",4,4
"['Function room', 'Pavilion', 'Gym', 'Jacuzzi', 'Steam room', 'Playground', 'Lap pool']",2018,2 Jalan Mat Jambol,,Buona Vista / West Coast / Clementi (D5),,,Partial,https://www.99.co/singapore/rent/property/bijou-condo-Jj8iSeXDgPxPCaDLNsfTpM#enquiry_position_3941#enquiry_source_Search,5 min (86 m) from ,Pasir Panjang MRT,Bijou,Queenstown,,https://www.99.co/static/v3/icons/function_room@3x.png,$5.9 psf,"$3,500/mo",Condo Whole Unit,593,Freehold,120,"1, 2, 3 BR",1,1
"['Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Parking', 'Security', 'Lap pool']",2011,21 Mccallum Street,Natwest Development Pte Ltd (Far East Organization),Boat Quay / Raffles Place / Marina (D1),,,Fully,https://www.99.co/singapore/rent/property/the-clift-condo-vfoJpzP4AmmxAnkD7mjq8h#enquiry_position_3942#enquiry_source_Search,5 min (329 m) from ,Telok Ayer MRT,The Clift,None,,https://www.99.co/static/v3/icons/gym@3x.png,$6.06 psf,"$4,700/mo",Apartment Whole Unit,775,99 Years,312,"Studio, 1, 2 BR",1,1
"['Swimming pool', 'Security', 'Parking']",2000,15 Kim Yam Road,Guan Qian Realty,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/langston-ville-condo-8kfERrhVRSTiBPytCWxCqf#enquiry_position_3943#enquiry_source_Search,10 min (586 m) from ,Somerset MRT,Langston Ville,River Valley,,https://www.99.co/static/v3/icons/pool@3x.png,$4.59 psf,"$4,300/mo",Apartment Whole Unit,937,999 Years,54,"2, 3 BR",3,2
"['Clubhouse', 'Bomb shelter', 'Security', 'Aircon', 'Stove', 'Fridge', 'Utility room', 'Dryer', '', '', '', '', '', '', '', '', '']",2007,10A Mount Sophia,Frasers Centrepoint Homes,Orchard / River Valley (D9),,High (9 total),Partial,https://www.99.co/singapore/rent/property/8-mount-sophia-condo-pHsdCME24sTtuxfPSLmpDS#enquiry_position_3944#enquiry_source_Search,5 min (276 m) from ,Dhoby Ghaut MRT,8 @ Mount Sophia,None,Pool view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.28 psf,"$5,900/mo",Condo Whole Unit,"1,378",103 Years,313,"1, 2, 3, 4 BR",3,3
"['Clubhouse', 'Gym', 'Swimming pool', 'Jacuzzi', 'Steam room', 'Playground', 'Parking', 'Security', '', '', '']",2012,9 Newton Road,Pacific Rover Pte Ltd,Newton / Novena (D11),,,,https://www.99.co/singapore/rent/property/trilight-condo-3ADw7GJ8jgfQGpH7yUgkm4#enquiry_position_3945#enquiry_source_Search,5 min (307 m) from ,Newton MRT,Trilight,Novena,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.49 psf,"$10,500/mo",Condo Whole Unit,"2,336",Freehold,205,"Studio, 2, 3, 4, 5 BR",4,4
"['Clubhouse', 'Jacuzzi', 'Parking', 'Balcony', 'Bomb shelter', 'Basketball court', 'Swimming pool', 'Greenery view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2004,33 Mandalay Road,Kheng Leong Co Pte Ltd,Newton / Novena (D11),,High (29 total),,https://www.99.co/singapore/rent/property/the-ansley-condo-qA84qTaro5sjBiCbHUoSem#enquiry_position_3946#enquiry_source_Search,20 min (2105 m) from ,Novena MRT,The Ansley,Novena,City view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.62 psf,"$4,600/mo",Condo Whole Unit,"1,270",Freehold,100,"1, 2, 3 BR",3,3
"['Walk in closet', 'Dishwasher', 'Bathtub', 'Renovated', 'Aircon', 'Clubhouse', 'Maid room', 'Greenery view', '', '', '', '', '', '', '', '', '', '', '', '', '']",2012,11B Nassim Road,Hong Leong Holdings Ltd,Tanglin / Holland (D10),,Low (5 total),,https://www.99.co/singapore/rent/property/sage-condo-LGJvznG96i7FQ3k3eaaeGh#enquiry_position_3947#enquiry_source_Search,15 min (1096 m) from ,Orchard MRT,Sage,Tanglin,Greenery view,https://www.99.co/static/v3/icons/walk_in_closet@3x.png,$6.31 psf,"$18,000/mo",Condo Whole Unit,"2,852",Freehold,33,"Studio, 3, 4, 5 BR",4,4
"['Clubhouse', 'Gym', 'Swimming pool', 'Security', 'Parking']",1994,4 Ardmore Park,Heritage Holdings Pte Ltd,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/heritage-apartments-condo-Pm8NpXZwSfPonc3FH6MHT8#enquiry_position_3948#enquiry_source_Search,15 min (909 m) from ,Orchard MRT,Heritage Apartments,Newton,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.69 psf,"$5,800/mo",Condo Whole Unit,"1,571",Freehold,19,"3, 4 BR",3,2
"['Swimming pool', 'Gym', 'Security', 'Playground', 'Parking']",1978,37 Nassim Road,Far East Organization,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/nassim-regency-condo-bG9Cyw6pXuxrHrbwJb4EpT#enquiry_position_3949#enquiry_source_Search,,,Nassim Regency,Tanglin,,https://www.99.co/static/v3/icons/pool@3x.png,$4.67 psf,"$9,600/mo",Apartment Whole Unit,"2,056",Freehold,30,"3, 4, 7 BR",3,4
"['Swimming pool', 'Gym', 'Security', 'Bbq']",2007,1 Jalan Ulu Sembawang,Frasers Centrepoint Homes,Sembawang / Yishun (D27),,,,https://www.99.co/singapore/rent/property/the-sensoria-condo-b7j9J6XVuYjVyQaB5SZtSD#enquiry_position_3950#enquiry_source_Search,,,The Sensoria,Sembawang,,https://www.99.co/static/v3/icons/pool@3x.png,$2.97 psf,"$3,200/mo",Condo Whole Unit,"1,076",Freehold,73,"2, 3 BR",2,2
"['Clubhouse', 'Function room', 'Pavilion', 'Gym', 'Sauna', 'Swimming pool', 'Jacuzzi', 'Playground', '', '', '']",2012,28 Woodsville Close,Yishun Property Pte Ltd (Fraser Centrepoint Homes),Macpherson / Potong Pasir (D13),,,,https://www.99.co/singapore/rent/property/woodsville-28-condo-BkaZk4us8LuxZpAtANMKrJ#enquiry_position_3951#enquiry_source_Search,5 min (192 m) from ,Potong Pasir MRT,Woodsville 28,Toa Payoh,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.98 psf,"$3,300/mo",Condo Whole Unit,829,99 Years,110,"2, 3, 4, 6 BR",2,2
"['Clubhouse', 'Gym', 'Sauna', 'Swimming pool', 'Wading pool', 'Squash court', 'Playground', 'Parking', '', '', '']",1999,136B Hillview Avenue,Ccl Properties (Hillview) Pte Ltd,Bukit Batok / Bukit Panjang / Choa Chu Kang (D23),,,Fully,https://www.99.co/singapore/rent/property/merawoods-condo-gvyPuJTjaVgoegCRLH6obm#enquiry_position_3952#enquiry_source_Search,30 min (3568 m) from ,Bukit Gombak MRT,Merawoods,Bukit Batok,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$2.37 psf,"$3,200/mo",Condo Whole Unit,"1,350",999 Years,305,"2, 3 BR",3,3
[],1993,10 Ava Road,Ava Development Pte Ltd,Balestier / Toa Payoh (D12),,,,https://www.99.co/singapore/rent/property/ava-towers-condo-QayWPn9ZFT8DjuQmE5hLKU#enquiry_position_3953#enquiry_source_Search,20 min (1677 m) from ,Novena MRT,Ava Towers,Novena,,https://financialtribune.com/sites/default/files/styles/slideshow/public/field/image/17january/12_housing.jpg?itok=d06YPElv&c=951339708e83cdf3eb1f0b0e2a10dfe1,$2.92 psf,"$3,500/mo",Apartment Whole Unit,"1,200",Freehold,124,"3, 4 BR",3,2
"['Yoga corner', 'Gym', 'Pool deck', 'Viewing deck', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', '', '', '', '']",2015,11 River Valley Close,Meadows Property (S'pore) Pte Ltd,Orchard / River Valley (D9),,,,https://www.99.co/singapore/rent/property/starlight-suites-condo-pQf8TJpjLxWjTFgXoExsAa#enquiry_position_3954#enquiry_source_Search,15 min (724 m) from ,Somerset MRT,Starlight Suites,River Valley,,https://www.99.co/static/v3/icons/yoga_corner@3x.png,$5.16 psf,"$4,000/mo",Condo Whole Unit,775,Freehold,105,"1, 2, 3, 4 BR",2,1
"['Clubhouse', 'Gym', 'Sauna', 'Swimming pool', 'Wading pool', 'Squash court', 'Tennis court', 'Parking', '', '', '']",1996,53A Grange Road,Spring Grove Development Pte Ltd (City Developments Ltd),Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/spring-grove-condo-Cn8uZGeAsfM6mUttjrJFNc#enquiry_position_3955#enquiry_source_Search,15 min (1694 m) from ,Orchard MRT,Spring Grove,Tanglin,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.18 psf,"$5,800/mo",Condo Whole Unit,"1,389",99 Years,325,"Studio, 2, 3, 4 BR",studio,1
"['Clubhouse', 'Gym', 'Sauna', 'Swimming pool', 'Wading pool', 'Squash court', 'Tennis court', 'Parking', '', '', '']",1996,53A Grange Road,Spring Grove Development Pte Ltd (City Developments Ltd),Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/spring-grove-condo-Cn8uZGeAsfM6mUttjrJFNc#enquiry_position_3956#enquiry_source_Search,15 min (1694 m) from ,Orchard MRT,Spring Grove,Tanglin,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.18 psf,"$5,800/mo",Condo Whole Unit,"1,389",99 Years,325,"Studio, 2, 3, 4 BR",studio,1
"['Function room', 'Water feature', 'Gym', 'Viewing deck', 'Spa pool', 'Swimming pool', 'Wading pool', 'Jacuzzi', '', '', '', '', '', '', '', '']",2016,6 Whampoa East,Ue Development (Bendemeer) Pte Ltd,Balestier / Toa Payoh (D12),,,,https://www.99.co/singapore/rent/property/eight-riversuites-condo-AXQyueaf4QU4w7xfv47v2m#enquiry_position_3957#enquiry_source_Search,5 min (358 m) from ,Boon Keng MRT,Eight Riversuites,Kallang,,https://www.99.co/static/v3/icons/function_room@3x.png,$4.43 psf,"$3,100/mo",Condo Whole Unit,700,99 Years,862,"Studio, 1, 2, 3, 4 BR",2,2
"['Clubhouse', 'Gym', 'Swimming pool', 'Wading pool', 'Squash court', 'Playground', 'Parking', 'Security', '', '']",1978,1 Pandan Valley,Dbs Realty Pte Ltd,Clementi Park / Upper Bukit Timah (D21),,,,https://www.99.co/singapore/rent/property/pandan-valley-condo-g3rNscYFvhHzutUjbU6LbW#enquiry_position_3958#enquiry_source_Search,30 min (4384 m) from ,Dover MRT,Pandan Valley,Bukit Timah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$2.18 psf,"$6,500/mo",Condo Whole Unit,"2,980",Freehold,623,"Studio, 1, 2, 3, 4, 5, 6 BR",4,4
"['Clubhouse', 'Water feature', 'Stove', 'Jacuzzi', 'Parking', 'Balcony', 'Renovated', 'Closet', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2010,191 Meyer Road,Hong Leong Holdings Ltd,East Coast / Marine Parade (D15),North,High (27 total),,https://www.99.co/singapore/rent/property/aalto-condo-pLvCbczqUarXqTtFYCKQeA#enquiry_position_3959#enquiry_source_Search,,,Aalto,Marine Parade,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.29 psf,"$8,400/mo",Condo Whole Unit,"1,959",Freehold,196,"3, 4, 5 BR",4,4
"['Clubhouse', 'City view', 'Closet', 'Aircon', 'Gym', 'Dishwasher', 'Fridge', 'Swimming pool', '', '', '', '', '', '', '', '', '', '', '']",2013,70 Saint Thomas Walk,Bukit Panjang Plaza Pte Ltd,Orchard / River Valley (D9),,High,Partial,https://www.99.co/singapore/rent/property/skyline-360-st-thomas-walk-condo-bWTRbA4RiNRdycE2WbcbQH#enquiry_position_3960#enquiry_source_Search,10 min (409 m) from ,Somerset MRT,Skyline 360 @ St Thomas Walk,River Valley,City view,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.91 psf,"$10,300/mo",Condo Whole Unit,"1,744",Freehold,61,"2, 3, 4, 5, 6 BR",2,4
"['Clubhouse', 'Gym', 'Sauna', 'Swimming pool', 'Wading pool', 'Playground', 'Fitness corner', 'Parking', '', '', '']",2003,1 Serangoon Avenue 2,Capitaland Residential,Hougang / Punggol / Sengkang (D19),,,,https://www.99.co/singapore/rent/property/sunglade-condo-8RS6bcwnKKRRjFnC6VgR2C#enquiry_position_3961#enquiry_source_Search,5 min (265 m) from ,Serangoon MRT,Sunglade,Serangoon,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$3.91 psf,"$4,000/mo",Condo Whole Unit,"1,023",99 Years,475,"2, 3, 4 BR",3,2
"['Clubhouse', 'Pavilion', 'Water feature', 'Gym', 'Pool deck', 'Timber deck', 'Spa pavilion', 'Spa pool', '', '', '', '', '', '', '', '', '', '']",2012,18 Holland Hill,Calne Pte Ltd,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/parvis-condo-cnz2iredfJLpiDzpFDkYc6#enquiry_position_3962#enquiry_source_Search,10 min (484 m) from ,Holland Village MRT,Parvis,Bukit Timah,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$4.12 psf,"$9,300/mo",Condo Whole Unit,"2,260",Freehold,248,"Studio, 2, 3, 4 BR",3,3
"['Clubhouse', 'Stove', 'Walk in closet', 'Jacuzzi', 'Oven', 'Parking', 'Mid floor', 'City view', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '', '']",2007,88 Jellicoe Road,Capitaland Ltd,Farrer Park / Serangoon Rd (D8),South East,Mid (41 total),Fully,https://www.99.co/singapore/rent/property/citylights-condo-BGMTVe6PmiyDQDWaDKVqjP#enquiry_position_3963#enquiry_source_Search,5 min (195 m) from ,Lavender MRT,Citylights,Kallang,City view,https://pic.99.co/v3/E5bSh9kaaMyqJ6NiesZnHh?width=1440&mode=fill&text=Mervin+Tang&sampling=lanczos&quality=80&version=1&signature=ee4a8932918402208ac4fbd32b2a926f70fdf97c,$5.54 psf,"$3,100/mo",Condo Whole Unit,560,99 Years,600,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Clubhouse', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Fitness corner', 'Parking', 'Security', 'Lap pool', '']",2007,80 Jellicoe Road,Capitaland Ltd,Farrer Park / Serangoon Rd (D8),,,,https://www.99.co/singapore/rent/property/citylights-condo-b6oMV6PgKoNKWWurzo23Hn#enquiry_position_3964#enquiry_source_Search,5 min (195 m) from ,Lavender MRT,Citylights,Kallang,,https://www.99.co/static/v3/icons/clubhouse@3x.png,$5.54 psf,"$3,100/mo",Condo Whole Unit,560,99 Years,600,"Studio, 1, 2, 3, 4, 5 BR",1,1
"['Fun pool', 'Aerobic pool', 'Swimming pool', 'Wading pool', 'Jacuzzi', 'Playground', 'Fitness corner', 'Parking', '', '', '', '', '']",2005,173 Tanjong Rhu Road,Tanjong Properties Pte Ltd,East Coast / Marine Parade (D15),,,,https://www.99.co/singapore/rent/property/water-place-condo-SPfMBtMWmGpgSeY4Ld4JTB#enquiry_position_3965#enquiry_source_Search,35 min (3076 m) from ,Stadium MRT,Water Place,Kallang,,https://www.99.co/static/v3/icons/pool@3x.png,$4.03 psf,"$4,900/mo",Condo Whole Unit,"1,217",99 Years,437,"2, 3, 4 BR",3,3
"['Swimming pool', 'Gym', 'Security', 'Playground', 'Parking']",1978,37 Nassim Road,Far East Organization,Tanglin / Holland (D10),,,,https://www.99.co/singapore/rent/property/nassim-regency-condo-DY9CiZ2cwcyiKocs8TNP7V#enquiry_position_3966#enquiry_source_Search,,,Nassim Regency,Tanglin,,https://www.99.co/static/v3/icons/pool@3x.png,$4.67 psf,"$9,600/mo",Apartment Whole Unit,"2,056",Freehold,30,"3, 4, 7 BR",3,3
"['Renovated', 'Aircon', 'Tv', 'Sofa', 'Stove', 'Fridge', 'Bed', 'Closet', '', '', '', '', '', '', '']",1992,17 Gambir Walk,Casa Espania Pte Ltd,Hougang / Punggol / Sengkang (D19),North South,Mid,Fully,https://www.99.co/singapore/rent/property/casa-espania-condo-AijT7jGgYkeJUWuhTUAr5F#enquiry_position_3967#enquiry_source_Search,15 min (1677 m) from ,Serangoon MRT,Casa Espania,Serangoon,,https://www.99.co/static/v3/icons/rennovated@3x.png,$2.59 psf,"$4,300/mo",Condo Whole Unit,"1,659",Freehold,20,"3, 4 BR",4,2
